一行出去就係泳池，再行出啲就係沙灘。	一行出去就係泳池，再行出Ｄ就係沙灘！
不問自取	不經許可拿走東西
佢急住應門，冇留意到自己衣衫不整。	他來不及應門，沒注意到自己衣著不整。
回魂覺	提神睡眠或小睡
請兩個散工	僱兩個零工
我唔認為阿波菲斯係一個問題 事實上 ， 塞翁失馬焉知非福	我認為阿婆菲斯的存在對我們並不壞 。 而是一個變相的好事 ,
技術加工	技術改進
香港人都好少瞓晏覺嘅。	香港人很少午睡。
我勞動慣咗嘍。	我習慣於體力勞動。
助理主任	助理主任
單襟	單排紐扣
婆婆已經好老，要人攙扶先行到路。	奶奶很老了。 她需要有人挽著她的胳膊才能過馬路。
我去美國嘅時候一句英文都唔識講 但係我嘅社工話畀我聽我要去讀高中	抵達時 ， 我一個英文字也不懂 ， 負責我的社會工作者卻告訴我我必須上高中 。
佢一日到黑淨係顧住刨馬經	他從早到晚只顧著啃那些賭馬的信息或評論
偷呃拐騙	犯罪活動的統稱
戶口	賬號
今個月喺網上銀行開户就有現金獎。	如果您在本月開設電子銀行賬戶，您可以享受現金獎勵。
經過沙士嘅教訓，政府加強咗防疫措施。	有了SARS的經驗，政府加強了防疫措施。
我星期日上晝見你啦。	週日早上見。
表姐放學去左柴灣翠灣街公園打韆鞦	表姐放學去柴灣翠灣街公園盪鞦韆
我哋發現喺多個大腦區域都有活動 事實上 ， 最重要嘅就係其中一個大腦區域	我們發現一些特殊活動在腦中許多不同部位發生 ， 事實上最重要的活動是發生在
我就喺度	而我在這裡 。
呢題好難。	這個問題很難。
噉佢話，即係佢話你就唔好以為份人工咁高呢，你就-你就趕-即係好想來做噉樣囖。話就其實好辛苦嘅噉樣囖。	他說，就是他說你就不要以爲份工資這麼高呢，你就-你就趕-就是很想來做這樣。這話就其實很辛苦的那樣嫋。
唔用文字	不用寫
我唔需要向你哋交代	我不需要向你們交代
蝸牛有兩對觸手。	蝸牛有兩對觸手。
青山電纜隧道可以容納八組高壓電纜。	青山電纜隧道可安裝八條高壓電纜線路。
竟然	居然、意外地
你可以一路睇報紙，一路「ik1，重未download到圖。ik1，重未出來𠸏。嘩，搞錯啊。」噉樣。	你可以一邊看報紙，一邊「 ik1 ，還沒有 download 到圖。ik1 ，還沒出來嫋。哇，搞錯啊。」這樣。
凍	完蛋
因為我哋可以做一啲個人嘅嘢	我們用這段時間做一些 使我們獨特的事 。
芒果布甸	芒果布丁
真係笑到條腰都彎埋。	真笑得腰也彎了。
記住啊，係佢玩你啊，唔係你玩佢啊。喀。	記住啊，是他玩你啊，不是你玩他啊。喀。
齋研究廣東話助詞都有排你玩。	光是粵語助詞就已經費時費力了。
因為你-你好人吖嗎，所以同你傾計。	因爲你 - 你好人啊嗎，所以跟你談算。
候選佳麗個個都身形修長。	參加選美比賽的所有候選人看起來都很苗條。
界外球	邊綫球
月經	經血 ，
淨飲雙計	只喝雙倍價
喊到一句句	嗷嗷地哭
佢哋去晒旅行，冇人喺屋企。	他們都出去旅遊了，沒有人在家。
跟住，冇嚹。	接着，沒有嚹。
爺爺，我唔睬你呀！	我不理你了！
點開枱呀？都未湊夠腳！	我們怎樣才能開始打麻將呢？ 我們連人都不夠！
佢哋前日註冊結婚，成為有名有份嘅合法夫妻嘞	他們前日註冊結婚，成為名正言順的合法夫妻了
同學都好友善	同學都很友善
係點樣運作呢 ？ 你係點樣開始呢 ？	你是怎麼開始的 ？
部機軭神咗一排喇，整都整唔返。	那台機器完全壞了。 沒有人可以修復它。
唔使問阿貴	肯定是
書擠喺邊度？	書放在哪裡？
秋	秋季
我頭先睇到佢，好似搵緊你喎。	剛才我看見他了。 他好像在找你。
因為實習可以畀僱主 根據實際嘅工作表現決定請人 而唔係靠一連串面試 僱主可以等到佢哋實習期完畢 先決定請唔請佢哋做長工	因為這種實習可以讓雇主 以實習生實際工作的成效 做出聘僱決策 ， 而非一系列的面試 。 而且雇主也不用在實習期間 做出雇用正式員工的決策 。
眼界幾好	挺有準頭
而家嘅人活到八十幾歲有乜出奇啫？	現在的人活到八十多歲也沒什麼了不起
佢揩嘢揩到上晒癮。	他吸毒上癮了。
噉喺夜晚呢，即係隔籬左右呢，都係政府合署嘅。噉所以呢，冇乜人行街，噉就，好-好多人喺度開檔嘅。	晚上因為旁邊是政府合署已經關門，沒什麼人使用，很多人在這裡開檔。
呢件褸用料精細，幾襟着㗎。	這件夾克是市場上最耐用的夾克之一，因為它使用了精選的面料。
佢哋呢排行得好埋。	這幾天他們的關係越來越近了。
佢成日都笑吟吟	他老是笑嘻嘻的
大佬，學校網係好曳啊我附近。全男校係好差𡃉，你知唔知啊？淨係睇啲保姆車嗰啲帶-帶啲睇靚仔嗰啲…	大哥，學校網是很調皮啊我附近。全男校是很糟糕，你知道嗎？只是看點保姆車那些帶-帶點看帥哥那些...
針筒	注射器
戥穿石	伴郎
佢哋都係死於胰腺癌	他們都死於胰腺癌 。
由於史料記載得唔夠，繼皇后嘅實際姓氏係一個具有爭議性嘅話題。現代大概分做「烏拉那拉氏」、「輝發那拉氏」同埋「那拉氏」。	由於史料記載不足的問題，繼皇后的實際姓氏是一個具爭議性的話題。現代大約分為「烏拉那拉氏」、「輝發那拉氏」和「那拉氏」。
風腸	臘腸
佢點條黑路畀我行	他指一條黑道讓我走
一瀄啲水就咇出嚟。	一捏，水就噴出來了。
遇到失敗都唔可以後退。	即使面臨失敗，我們也不應該退縮。
鎮靜劑食得耐會食純㗎。	長時間服用鎮靜劑可能會產生耐受性。
風吹到啲燈籠吊吊揈	風把燈籠吹得晃來晃去
佢唔鍾意打寫字樓工。	他不喜歡在辦公室工作。
美金喺好多個國家都用得。	美元可以在許多國家使用。
硬頸	頑固
泊街咪得囉，咪揾停車場啦。	把車停在街上。 不要去找停車場。
佢輸咗一半身家之後斬手指戒賭。	在輸掉一半財產後，他戒掉了賭博。
師奶	家庭主婦
體格健碩	健美的體格
英雄所見略同	英雄所見略同。
主人房	主人房間
詐癲扮傻	裝瘋賣傻
呢件事我有幾分揸拿	這件事我有幾分把握
響我哋嘅星球 邊度有水 ， 邊度就有生命	在我們地球上 ， 但凡有水的地方 ， 就會存在生命 。
我都想同你講一啲關於愛嘅文化 佢嘅魔力	我也想表達一點 「 愛的文化學 」 — 愛的神奇 。
我抵肚餓。	我忍受飢餓，或者我吃東西是為了不感到飢餓。
長拉拉	太長了
使用爆炸品作爆破用途，係要經過授權嘅。	應授權人員使用炸藥進行爆破工作。
一直過了很久才弄清楚原來是夢	一直過了很久才弄清楚原來是夢
同一隻蜘蛛吐嘅絲 可以有好唔同嘅重複序列	由同一隻蜘蛛所製造的絲可以有 非常不同的重複序列 。
LED 係僅次於日光嘅最好發光物體	LED 是僅次於日光的最佳光源
為止	至此
（）都係𡃉。「你俾我攞十點，我就請食飯！」噉𠻺十點啊。	（ ）都是淘氣。「你讓我拿十點，我就請喫飯！」那十點啊。
（ 笑聲 ） 我好鍾意呢個諗法 但係我就冇考慮到 啲圖書管理員 其實都好肉緊啲拼同寫	（ 笑聲 ） 我很喜歡這個主意 ， 但不知怎麽我沒有選擇這個主意 ， 因為圖書管理員 才應該對拼寫感興趣 ，
天滅中共，全黨死清光	天滅中共，全黨死清光
我同你將個喼擺喺行李架上便	我幫您把箱子放在行李架上
嗰隻鉸甩甩離㗎喇，快啲安翻佢啦	那個合頁快掉了，快點把它裝好吧
佢而家係老細身邊嘅紅人。	他現在是老闆的寵兒。
撳住唎個講嘢都可以。	按着掄個說話都可以。
佢家庭比較困難，要做啲散工嚟幫補下	他家裡比較困難，要乾點零工來補貼一下
欶汗	吸汗
喺危難關頭，我地更加應該互相幫助。	在這種危急情況下，我們應該互相幫助。
件貨就送咗出去，但仲未收到錢。	貨已送達，但錢還沒收。
佢條呔係藍底白點嘅。	他的領帶是藍色的，上面有白色的圓點。
呢個組合唔錯呀！	這個組合不錯了！
跟住我問佢係唔係得罪咗阿邊個邊個啊？	跟着我問他是不是得罪了誰誰啊？
畢竟 ， 小兒書就系大人教導細路仔嘅手冊 ， 所以你最好卑佢地果地可以教佢地由不同方式睇問題嘅小兒書 。	畢竟 , 童書都是子女教育手冊 , 所以你最好給他們看教導不同觀點的童書 。
讀夜校好辛苦㗎，日頭又要返工，點温書呀？	白天還要打工，上夜校很辛苦，放學後怎麼可能去讀書呢？
呢度個個都成雙成對。	這裡的每個人都是成對的。
我電腦個喇叭啲聲好空洞，係時候要換喇。	我的電腦揚聲器聽起來很空洞。 是時候買一個新的了。
長	生長
出糧	發薪水
冇得食	沒有東西吃
你洗唔洗咁認真啊？	你洗不洗這麼認真啊？
用家	用戶
白撞	撞騙
好在	還好
秋蟬	蟬
其實本書慘不忍睹 。	讀起來極其可怕
啱啱入職，如果你老細唔睇你台戲，代表你冇運行，可以收皮。	作為一個新手，如果你的老闆不欣賞你的表現，你就不會有好日子，這意味著你完蛋了。
依家庫房水浸，財爺唔應該做守財奴，要將盈餘還富於民。	現在政府的金庫越來越多，財政司司長不應該守財奴； 相反，他應該將收入返還給人民。
香港人接受英國管治，接受西方嘅教育制度，開始同中國人嘅世界觀有差異	香港人接受英國管治，接受西方的教育制度，開始跟中國人的世界觀有差異
好似好奇號咁嘅火星探測器 喺火星表面行走 尋找已知生命之源嘅線索	我們的火星車 「 好奇心號 」 爬行過火星的表面 ， 找到了我們認知的原始生命跡象 。
將呢幾頁講義釘埋一份	把這幾頁講義釘成一本
單車	腳踏車
波士話想炒佢喎。	老闆說他想解僱他。
埋去埋便	到靠裡邊兒去
第一手	第一手
琴晚落咗場雨，成個操場水汪汪。	昨晚下過雨，整個操場都被水淹沒了。
開正	正合
手作	手工技藝
啲人成日吹奏呢科，搞到個個都走曬去讀。	人們不斷讚美進入這個大學課程的好處，導致學生蜂擁而至學習它。
撳	點選
四道菜	四道菜
有呼聲話要舉行第二場公投 呢個情況就好似運動比賽完咗 我哋叫對手重新比賽一樣	有人提議舉行第二輪公投 ， 簡直像是比賽後 ， 馬上要求對手重比過 。
朝朝早都要拍先至起身，好心你早啲瞓啦	每天早上也要拍才起牀，好心你早點睡吧
我們鬧情緒是正常	我們罵情緒是正常
唔係支支墨水筆都咁貴㗎！	並不是所有的鋼筆都那麼貴！
惡死	凶惡
既然其他國家都可以成功限制每日工作小時同埋實施最低工資，我相信喺香港都一定得。	由於其他國家的企業可以通過控制工作時間和最低工資來生存，我相信它在香港也行得通。
和氣生財	和藹可親使你富有
（ 掌聲 ） 互動唔一定係虛擬 ， 可以係現實嘅	（ 掌聲 ） 互動不一定是虛擬 也可以是實體的
用圖像去諗嘢 用圖畫記低事情	思考圖像裡面的事實 ， 把它記下來 。
黎張圖片裡 ， 你見到宜家好風行的一個現象 叫做 “ 裸婚 ” 。	在這張圖片裡 , 是一種很流行的現象 叫做 “ 裸婚 " .
（ 打咳嚏 ） 冇事嗎 ？	（ 打噴嚏聲 ） 保佑你 。
佢耐不耐都有嚟坐吓嘅。	偶爾，他會來這裡小坐一下。
驕傲在敗壞以先，狂心在跌倒之前	驕傲在敗壞以先，狂心在跌倒之前
同時可以揀得明智啲	可以更明智地選擇 。
問哩兩個？	問這兩個？
一年三造	一年三熟
雞腸	英文
你隻戒指咩記認都冇，唔見咗好難揾㗎喎。	您的戒指上沒有明顯的標記。 丟了就很難找了。
我哋要喺崎嶇嘅山路上面行走	我們不得不走崎嶇不平的山路。
做乜心不在焉啊？你係咪有心事啊？	你為什麼不注意？ 你在想別的事情嗎？
將唔同地方嘅資料整合做一個表先。	首先，將從各個地方收集的所有數據整合到一個表中。
椒鹽九肚魚	椒鹽九肚魚
有原則	按照自己的原則生活
佢啱啱離開咗一陣。	他只是離開了片刻。
打褶	打褶子
好啦好啦，淨係同你講	好了好了，我只告訴你
突然間條女㧻咗隻手指入去我屎𦡆窿度。	我女朋友突然把手指伸進了我的屁眼。
computer乜嘢啊？	computer 什麼啊？
而我成日都好緊張	那是種緊張時的習慣動作 ， 而我總是很緊張 。
唔生仲等幾時呢	不生還什麼時候呢
有個細路仔响街度喊	有個小孩兒在街上哭
係呀？咁犀利呀？	是啊？這麼厲害嗎？
鐳射打印機	激光打印機
點樣去大角嘴維港灣	怎麼去大角嘴維港灣
用稀釋咗嘅漂白水洗地可以殺菌除臭。	用稀釋的漂白劑清洗地板可以殺死細菌並去除異味。
啲青菜啽到殘晒。	這些青菜被泡爛了。
噉，我就要畀佢繼續發言落去。	我會讓他發言。
我從來冇過問佢以前嘅嘢	我從來沒有過問他以前的事
我之所以去研究呢樣也 ， 而唔係傳統人類學係有原因嘅 。	爲什麽我要來研究這種新的人類學 是有原因的 。
氣順	心情舒暢
印仔表	小蓋章
呢勻	這回
佢一個人去咁遠路，叫人成日心掛掛	他一個人去那麼遠的路，總叫人牽腸掛肚的
我嘗試緊為小熊軟糖增加結餘 。 」 （ 笑聲 ） 「 咁佢先可以提交 所有需要嘅可樂樽啫喱豆 畀奶油蛋 ， 從而開始進行花生 。 」	我正在嘗試調升橡皮熊餘額 ， （ 笑聲 ） 這樣他才能遞交所有的 可樂瓶糖果及果凍糖 給奶油蛋 ， 讓M & amp ; M巧克力開始進行 。
計正佢唔使出錢嘅	本來他是不必出錢的
暫時都幾好呀？	暫時都還好啊？
頂住先喇。	頂住先啦。
傷口結咗焦	傷口上結痂了
呢個世界，有強權，冇公理！	只有權力沒有正義！
臺灣問題	臺灣問題的
將啲錢存入呢個銀行帳户。	把錢存入這個銀行賬戶
工廠北移之後，製造業開始式微。	工廠北移後，製造業開始走下坡路。
間接接觸	間接接觸
佢而家讀緊博士。	他現在正在攻讀博士學位。
發燒同中暑唔同㗎：發燒係因為有其它病所以體温升高，而中暑就係因為體温升高引致嘅病嘞。	發燒與中暑的不同之處在於，體溫升高是由於潛在的疾病，而中暑是體溫升高導致的病症。
流浪貓喺九龍灣祥業街嘅垃圾桶搵野食	流浪貓在九龍灣祥業街的垃圾桶找東西喫
醒少少當幫忙啦	醒一點點當幫忙吧
係咩？但係乜唔係即係-	是嗎？但是什麼不是就是-
埋手打三更	一開始就出錯
暖水壺	暖壺
你要我等佢幾耐啊？	你要我等他多久？
冷氣咁勁，認真凍春死！	空調太強了。 這該死的冰凍！
唔使欿	不用指望
佢哋發現咗個寶藏。	他們發現了一個寶箱。
佢破產之後就發咗癲嚹。	破產後，他發瘋了。
淘汰柴油的士	逐步淘汰柴油動力出租車
不過唔係條條捷徑都咁危險嘅 我記得有次响希思羅機場	這些鍾意路線不全都是危險的 ， 我回想起當我要飛來這裡 在英國的希斯羅機場時 ，
轉眼即逝	一閃而過
衰鬼學生今日又唔嚟嘞	這破學生今天又不來了
鑊黸	鍋垢
1705年荷蘭外交官Nicolaes Witsen繪制嘅韃靼利亞地圖	1705年荷蘭外交官Nicolaes Witsen繪制的韃靼利亞地圖
（ 笑聲 ）	（ 笑聲 ）
真係有好多改善空間	真有很多改善空間
歐盟排放交易體系就係其中主要市場	歐盟的ETS是主要市場
邊個會知道尖沙咀海底隧道邊間雲吞麵最好食	誰會知道尖沙咀海底隧道哪一間餛飩麪最好喫
係老母供屋嘅，佢個仔一個仙都冇畀過。	分期買房的是媽媽。 她的兒子連一分錢都沒有付。
抱審慎樂觀嘅態度	謹慎樂觀
畢業證書	畢業證
上嚟二樓傾呀	上來二樓談吧
唉，好攰呀	唉，好累啊
空氣嘅主要成分係氮氣同氧氣。	氮氣和氧氣是空氣的主要成分。
嗰個人明明退咗休𠺝，點解可以翻閹？	為什麼那個人退休後可以再就業？
橫邊	側面
佢哋最近過從甚密，唔通行埋咗？	他們最近關係親密。 也許他們才剛剛開始戀愛？
冰釋前嫌	忘記過去的恩怨
真係戥你唔抵。	這對你真的不公平。
笑口棗	開心地笑的人
唔好擙咁出呀，因住跌落街呀！	不要伸得太遠，小心摔倒！
聽咩聽到咁入神啊？	你在聽什麼讓你如此著迷？
同學拿出電話玩	同學拿出電話玩
最快	最快
清晰定係神秘 ？	清晰還是神秘 ?
一千九百四十萬平方英里 即係點樣 ？	那有多大呢 ？
每逢初一、十五，我阿媽都食齋。	我媽媽在農曆正月初一和十五吃素。
一切的事物都是等價交換	一切的事物都是等價交換
攪到我爭啲黐線	弄得我差點發瘋
早已接洽。	早已接洽。
坐車好囉	當然是坐車好了
犯罪首腦	犯罪策劃者
司機大佬唔該快啲，頭先喺粉嶺和家樓路跌左部手機	司機哥哥拜託快點，剛纔在粉嶺和家樓路丟了一臺手機
上次會議有三人列席。	上次會議有三名與會者。
唔係，但係如果你諗住去旅行實係噉。唔係。如果一次過放，禮拜日都扣𡃉咩？唔係十…	不是，但是如果你準備去旅行肯定是這樣。不是的。如果一次性放，星期日都扣嗎？不是十 ...
喺物理系統裏面 ， 智能等如訊息處理	智能是關於資訊 在物質系統裡處理的過程 。
佢戒酒好耐	他已經戒酒了很久
有間正場轉咗做鹹淡水場。	合法的按摩院已經變成了提供按摩和性服務的場所。
由頭	由頭
死黐住張檯唔郁𡃉喎，阿西瓜。	死粘着張臺不動嘮，阿西瓜。
佢拍咗套寫真集。	她的裸照相冊已經出版。
佢係個跛手佬，開機器唔小心，整跛咗隻手。	他是一個手殘廢的人。他在操作機器時不小心，結果弄廢了手。
抵諗	能忍讓
琴晚我俾間澳門賭場剝光豬喇。	昨晚我被一家澳門賭場洗光了所有的錢。
羅廣斌（1924年11月22日－1967年2月10日）係中華人民共和國作家，共產文學小說《紅巖》嘅作者之一。佢祖籍四川忠縣，喺成都出世。	羅廣斌（1924年11月22日－1967年2月10日），祖籍四川省忠縣（今屬重慶市），生於成都，中華人民共和國作家，《紅巖》的主要作者之一。
配售靈灰龕位	分配骨灰龕位
你諗住喺佢屋企樓下菢佢出街呀？	你打算在樓下等她出去嗎？
張紙底面都寫咗嘢。	紙張的兩面都被使用。
黐纏	纏綿
殘疾人士登記證，俗稱殘疾證、白卡，係香港勞工及福利局康復服務中央檔案室為喺香港居住嘅殘疾人士提供嘅自願登記證件。呢款證件自1999年起推行，初時係張冇個人相片嘅證件。2005年4月起，大概兩年半內，逐步改換具防偽特徵並註有個人相片嘅證件。	殘疾人士登記證，俗稱殘疾證，是勞工及福利局康復服務中央檔案室為香港居住的殘疾人士提供的自願登記證件，自1999年起推行，初期為一張無個人相片的證件，並於2005年4月起約2年半內逐步更換為具防偽特徵並註有個人相片的證件。
八號風球好大風，觀塘牛頭角道依家橫風橫雨	八號風球很大風，觀塘牛頭角道現在橫風橫雨
好耐無去屯門兆麟街探舅父	很久沒去屯門兆麟街探舅舅
出門太匆忙，唔記得戴錶。	我出門太匆忙，忘了帶錶。
咁耐	這麼長時間
佢嗍咗啖煙。	她吸了一口煙。
我噉做會得罪人，冇辦法，食得鹹魚抵得渴係啦	我這樣做會得罪人，沒有辦法，我只好認了
呢個海灘有鯊魚出沒，真係得人驚。	鯊魚不時出現在這片海灘附近，著實嚇人。
失魂	冒冒失失
老媽負責餵她	老媽負責喂她
輸送帶	傳送帶
佢好本事！	他很能幹。
直升機喺空中下墜。	直升機從天而降。
左右次間	左右嵌入式托架
晚晚都有一批慘綠少年喺7-11打躉。	一群青少年每天晚上都聚集在 7-11 便利店閒逛。
為死者默哀一分鐘	為逝者默哀一分鐘
大災難已經降臨喺大家身上。	大災難已經臨到我們了。
入罪	定罪
而家啲電視機越出越薄。	現在的電視越來越薄。
原因有幾個 首先 ， 所謂特殊例子真係有好多 而且每個都好重要	首先 ， 所謂的例外 有好多 而且都是重要的
高大威猛	高大威武
我諗我哋唔會復合。	我不認為我們會復合。
咁貴都買，真係戇居	價錢這麼高也要買，真傻冒
將啲學生分成兩邊。	把學生分成兩組。
你今日個樣好掂。	你今天看起來很棒。
甚至團年飯也讓兒女先忙工作	甚至年夜飯也讓兒女先忙工作
煤爐	燒煤的爐子
佢隻腳仲未好番，要用枝士的行街先得。	他的腿還沒有好，走路需要拄著拐杖。
佢教咗我一啲基本舞步。	她教了我一些基本的舞步。
呢隻松鼠我親手養大㗎。	這只松鼠是我一個人養大的。
舊年家姐結咗婚，我睇完佢啲婚紗相，覺得真係好靚！	去年我姐姐結婚了。 看了她的婚紗照，感覺真的好漂亮啊！
點解唔係呢 ？	何樂而不為呢 ？
最應	最厲害
不過都有痛苦嘅時候 特別係對我身邊嘅人	有時是痛苦的 ， 特別是對我身邊的人 。
你做乜嘢將個袋壓到扁撻撻？	你為什麼把袋子壓成這麼扁的形狀？
你唔好發圍啊！	你他媽以為你是誰！
水災頻仍	頻繁的洪水
大茶飯	大案
早嗰輪我超忙，晚晚做到十一點幾。	前陣子我超級忙。 每天晚上我都工作到 11 點以後。
呢間房幾乾淨個噃	這個房間挺乾淨的
殷樺花園喺香港西半山，附近有雍景臺。有很多名人住喺度，例如藝員薛家燕。呢個屋苑有基本設施同埋充足休閒空間，室外游泳池、多用途運動場同平臺花園等。大部份單位面積約1105平方呎，有3間睡房，2間浴室。由富城物業管理有限公司管理， G4S負責24小時保安。	殷樺花園位處香港西半山，鄰近雍景臺。有很多名人入住，如藝員薛家燕。該住宅有基本設施及充足的休閒空間，室外游泳池、多用途運動場和平臺花園等。大部份單位面積約1105平方呎，有3間睡房，2間浴室。由富城物業管理有限公司管理，G4S負責24小時保安。
有咩可能咁貴呀吓?	有什麼可能這麼貴啊一下？
佢哋一直都放唔低呢個心結。	一直以來，他們心中的這個心結都無法釋懷。
有個老人去左錦田沙埔村路食齋	有個老人去錦田沙埔村路喫素
