炸彈同地雷比任何軍階大	炸彈和地雷比任何軍階大
依塊響墨西哥嘅地以前係太爛 我要標記座山 ， 因為變化實在太大喇	這片位於墨西哥的地原本狀況很糟 而現在我還必須標示 原本的坡地在哪 因為這改變實在太深刻了
自發籌款賑災	自發的救災籌款活動
我琴晚瞓唔著，成晚都眼光光	我昨晚睡不著，整個晚上都沒合眼
做咗幾廿年夫妻，依家佢走咗，真係好唔捨得！	我們做夫妻幾十年了。 現在她走了，我真的很想她！
量名詞組	量詞名詞短語
天下第一	世界第一
你去參加嗰個講座有冇料到？	您是否從參加的演講中獲得了任何收益？
你要盡力攞到法院指令 避免一單新聞喺 76 個國家報導	嘗試去獲得法庭的禁令 這樣可以避免來自 76 國家 新聞報導的洩漏 ，
無價	無價的
佢發緊燒啊。	他在發燒。
喂喂荷里活有間大酒店	喂喂好萊塢有間大酒店
地方政府受到中央政府嘅箝制。	地方政府被中央政府打壓。
你知唔知咩嘢叫黑色幽默？	你知道嗎？什麼東西叫黑色幽默？
公司三文治烘底，茶走，熱嘅	公司三明治烘底，茶走，熱的
世藝	消閑活動
鈉同氯化合黐埋一齊就會變做氯化鈉－即係食嘢用嘅食鹽。	當鈉和氯化學結合時，它們變成氯化鈉 - 用於食用的食鹽。
當我哋睇到跳水運動員空翻入水 或者撐杆跳運動員喺空中翻轉 然後快速著地 ， 我哋一定會屏息以待	我們不禁屏住呼吸 當我們看到跳水選手 翻個筋斗入水 、 或撐竿跳選手在空中扭轉 、 同時快速接近地面
種種問題，真係不勝枚舉啊！	我們面臨的問題實在是不勝枚舉！
呢本都唔係廣東話，係香港話先啱	這本書不是廣東話，是香港話才對
你見唔見到佢同你單吓眼？	你沒看到她對你眨了眨眼嗎？
司機大佬唔該快啲，頭先喺屏山唐人新村西路跌左部手機	司機哥哥拜託快點，剛纔在屏山唐人新村西路丟了一臺手機
有啲𡃁仔唔識寫個死字，佢哋揸車時就係噉玩法㗎。	一些沒出息的年輕人想死。 當他們開車時，他們就那樣胡鬧。
搞搞新意思	弄一些噱頭
呢間公司畀咁高人工，簡直係擋唔住嘅誘惑，搞到我好想跳槽。	這家公司提供的薪水很高，讓我無法抗拒。 這讓我想辭職加入。
救護車趕到嚟嗰時，佢已經冇咗氣息嚹。	救護車來的時候，他已經喘不過氣來了。
花心	花心男子
深呼吸要先吸一大啖氣，之後呼氣。	深呼吸時，你應該先吸氣再呼氣。
爭住	偏袒
佢正一菠蘿雞成日黐飲黐食	他正一菠蘿雞總是粘喝粘喫
係唔係？你答我吖！	是不是？你回答我！
佢俾簕劖親隻腳。	他的腳被一根刺扎破了。
落雪水	下很冷的小雨
哦。原來噉樣。哎，弊嚹。	哦。原來這樣。哎，弊嚹。
嗰啲嘢係人哋嘅	那些東西是別人的
我第一件事就叫佢行出屋企	我告訴崔西的第一件事 ， 就是她必須走出家門 。
紅毛泥畀雨𢱕過就變質㗎喇	水泥給雨水淋過就會變質的了
當我開始為自己留下快樂同自由嘅印記 外界對我嘅作品有反應 ， 令我好雀躍	當我為我的快樂與自由 留下印記 令人耳目一新的是 人們看到作品時的意外反應
乜嘢料呀？	什麼事啊？
塊糕上便嗰啲白蒙蒙嘅嘢係咩嚟㗎，係唔係發毛呢？	那塊糕上面白白的東西是什麼，是不是發黴了？
做呢行一到年尾就要追數交quota，唔夠數會俾老細照肺㗎！	你必須在每年年底前完成公司的預算收入，否則你會被上級訓斥。
（ 笑聲 ） 我話 ︰ 「 Solomon ， 我用咗成晚諗啲代號 ， 以後通信都用代號溝通啦 。 律師 ： 小熊軟糖 ；	（ 笑聲 ） 我說 ， " 所羅門 ， 我花了一整晚 ， 想到了這些暗號 接下來的所有通信 ， 我們要用這些暗號 ： 律師 ： 橡皮熊 ，
最終 ， 每一個國家要變嘅話 都要靠呢班特殊例子嘅人	最後 這個世界上沒有任何一個國家 沒有被那些 最傑出的人事務所改變
重理直氣壯。	重理直氣壯。
歐美研究	歐美研究
佢個人喪喪哋，佢講啲嘢你唔使理咁多	他這個人瘋瘋癲癲的，他說的話你別聽
子明，接好啲啦。	子銘，收的好！
佢挽住個旅行喼	他提著一個手提箱
我賣畀你嘅全部係堅嘢。	我賣給你的都是正品。
阿媽，我今晚唔返嚟食飯喇。	嘿，媽媽，我今晚不回家吃飯了。
扒長龍	強盜船搶劫
八號風球好大風，黃大仙環鳳街依家橫風橫雨	八號風球很大風，黃大仙環鳳街現在橫風橫雨
條死氣喉好似有啲唔妥	這條廢氣管好像有點兒不對勁兒
索	搜索
威勢	權威
唔好玩我啦	別耍我啦
湊夠	拼湊
倒瀉	倒撒了
口臭	說話不對頭
呢條街有人打荷包搵食。	這條街上有扒手謀生的人。
避車	人躲車
我甚至睇埋精神科	我甚至看了精神科醫師 。
佢而家恨轉ward喎。	他現在恨轉ward。
神仙難救	神仙也沒轍
衰仔，考試冇一科合格，問你將來讀唔成書點算！	你這該死的小子，你一科都沒考上！ 我問你，如果你不能完成學業，你將來打算做什麼？
佢哋個個都唔肯去，我唯有頂硬上啦	他們誰都不願意幹，我只有硬著頭皮幹下去
仆街啦！無啦啦落狗屎噃！	糟糕了！ 一下子下起了傾盆大雨！
一沓沓銀紙放喺枱度，百萬富翁都會發青光啦。	桌上放著成摞的現金，我想即使是百萬富翁也會用貪婪的目光盯著它們。
講假話	說謊
好明顯 ， 老鼠定咗型	很明顯是 「 行為凍結 」
佢份人富有幽默感，同佢一齊唔會悶。	他真是個有趣的人。 當你和他在一起時，你不會感到無聊。
咁濕星嘅嘢都煩到你，真係唔好意思。	很抱歉因為這樣的小事打擾您。
咁要點做 ？	那我們該怎麼辦 ?
而家你可以喺銀行打簿，唔使排隊，方便好多。	現在自己去銀行更新存摺，不用排隊，方便多了。
我做決定有-可以錯，可以對。	我的決定可以是錯或對。
我真係對佢做嘅嘢摸不著頭腦。	我完全不知道他為什麼那樣做。
佢不嬲都係咁從容不迫㗎啦。	他總是那麼從容不迫，不是嗎？
我周圍揾枝筆，但係都揾唔到。	我到處找那支筆，但找不到。
睇佢响闊佬身邊個樣吖，鬼咁核突！	他在富豪身邊的時候，簡直太噁心了！
佢提供一種目標同掌控感 — — 通過玩 提高生産效率 有 2 個關鍵因素	它會帶來一種朝目標邁進和掌握大局的感覺 這兩項重要的激勵感受 會透過玩樂 來刺激生產力
啲茶太濃嚹，加啲水沖淡啲先飲啦。	茶太濃了。 飲用前混合一些水稀釋。
有人捱世界，有人歎世界，社會係咁唔公平㗎啦。	有些人過著艱苦的生活，而另一些人卻享受著生活，所以我們知道，社會就是這樣不公平。
1999年，東方報業集團正促銷旗下報章《東方日報》及《太陽報》，要求報販增加訂購報紙嘅數目，但惹來何惠霞等長沙灣、深水埗區報販不滿，拒絕要求，為此何惠霞同《東方日報》區域發行商青匯書報社有限公司蔡偉強商討「退回賣剩報紙」機制。	1999年，東方報業集團正促銷旗下報章《東方日報》及《太陽報》，要求報販增加訂購報紙的數目，但惹來何惠霞等長深區報販不滿，拒絕要求，為此何惠霞與《東方日報》區域發行商青匯書報社有限公司蔡偉強商討「退回賣剩報紙」機制。
佢咁靚女，你驚冇人吼咩	她長得這麼漂亮，你擔心沒人看中她嗎！
有一個挑戰嘅部份係我喺一個月內每曰影低一張想 。	在這三十天的挑戰裡 ， 每天我要拍攝一張照片
咖喱魚蛋	咖哩魚丸
然而到今日還能蒙着小說的名，	然而到今天還能蒙着小說的名字，
球証	球賽裁判
打機係我嘅減壓良方。	玩電子遊戲是我減輕生活壓力的最佳方式。
呢個就係我哋 Romotive 要解決嘅問題 亦係我同廿位喺 Romotive 嘅發燒友 成日想解決嘅	這是我們 Romotive 公司試著去解決的問題 20 位宅男和我在 Romotive 努力地去找出解答
焗盅	茶盅
當我話畀唔到錢，佢就眼超超噉望住我。	當我說我不能給錢時，她就那樣瞪著我。
性並唔污穢。	性並不骯髒。
快佮妥	又快又好
分散注意力	轉移某人的注意力
對好多打工仔嚟講，中午都係嗌外賣一個盒仔飯攪掂。	對於相當多的上班族來說，就是點一份外賣飯盒來解決午飯的問題。
我對打麻雀冇乜興趣。	我對打麻將沒什麼興趣。
單眼佬睇老婆	單眼佬相親
一陣啲貓貓狗狗有啲乜野東瓜豆腐	一會兒這些貓貓狗狗有些什麼東瓜豆腐
梗係有啲闊佬都會喺電話亭睇吓有冇人留低一蚊大餅。	當然有些有錢人也會去看看有沒有人在電話亭裡落下了一元硬幣。
幾多…	多少。。。
只要P圖技術好，豬扒都可以執到變女神。	如果你的Photoshop技術好，你可以把醜女變成美女。
漢堡包	漢堡
啲香蕉仲青啤啤，點食得啊？	香蕉還是青的，叫我怎麼吃呢？
佢哋拉大隊去接機。	他們一起去機場接人。
其實我都唔知呢間茶餐廳有乜特別，地方好細，我哋坐得逼逼挾挾。	其實我不知道這家港式咖啡廳有什麼特別之處。 這個地方很小。 我們坐在一個非常狹窄的環境中。
催產素能夠令你做 一啲加強同別人聯繫嘅事情	預備你去做些事情 好增進你與他人的親密關係
《 婦女系英雄 》 帶我走遍世界 。	「 女人是英雄 」 這計畫 讓我走到世界各地 。
都唔會好得去邊嚹我相信。	也不會好得去哪裏嘮我相信。
佢一直懷恨在心，等機會報仇。	一直以來，他都懷恨在心，一直在伺機報仇。
到最後 ， 有啲醫生就話 佢哋就算覺得有啲決定對病人有益 佢哋都落實唔到	終於有些醫生如今表示 他們不能完全自由地 替病人的福利把關
唔好睇就鬆人	不好看就走
市面上亦有不少針對腳臭問題的產品	市面上亦有不少針對腳臭問題的產品
卜	預訂
呢度冇人冇盛，放心練啦，唔使怕醜喎。	這裡沒有人，什麼都沒有，別害羞，你可以在這裡修煉。
但最後我做返健康嘅嘢	我終於進入了穩定 。
請圈出答案。	請圈出答案。
出家人四大皆空。	佛教僧侶超越世俗。
有咩唔怕直講吖。	說出你想說的話。
皇上	皇上
我兜口兜面摑咗佢一巴。	我在他臉上打了一次耳光。
點知又係得個吉	料不到又是一場空
橡筋箍	橡皮筋兒
你FF少陣啦，你咁嘅樣又邊會有女呀？	別做白日夢了，你怎麼能得到長著你那張臉的女孩？
撈	攪
你𩓥高頭好似想講嘢。	你抬起頭，似乎想說什麼。
經過千辛萬苦，醫療界終於揾到對抗愛滋病嘅新療法。	歷經千辛萬苦，醫學界終於找到了治療艾滋病的新藥。
我哋都好想即刻有一個答案 雖然宜家有各種形式嘅行動同政策 同埋一啲飲食配方 例如食呢樣 ， 唔好食嗰樣 但如果我哋真係想對症下藥 我哋喺處方之前 我哋需要更嚴格嘅科學校證	我知道大家現在就想要有答案 一些實際行動及措施或飲食上的建議 該吃什麼 ， 不該吃什麼 但如果我們想得到正確的答案 我們必須先經歷過更多嚴格的科學檢驗 才能給大家飲食上的建議
W八零一即係佢個room個地方來嗎，直至七點鐘先走，哎吔上鏡嚹。	W八零一就是他的room個地方來攆嗎，直至七點鐘先走，哎喲上鏡嚹。
郭富城	郭富城、香港歌手、演員
哦，男仔定女仔來𡃉？	哦，男孩子還是女生來贏？
我哋陣間去邊度睇戲？	我們一會去那裡看電影？
我嘗試緊為小熊軟糖增加結餘 。 」 （ 笑聲 ） 「 咁佢先可以提交 所有需要嘅可樂樽啫喱豆 畀奶油蛋 ， 從而開始進行花生 。 」	我正在嘗試調升橡皮熊餘額 ， （ 笑聲 ） 這樣他才能遞交所有的 可樂瓶糖果及果凍糖 給奶油蛋 ， 讓M & amp ; M巧克力開始進行 。
石英係一種晶體。	石英是一種水晶。
三名學生	三個學生
不過 ， 去總結 ， 我想講 ， 幾百萬年前 ， 我哋進化咗三個基本驅動器 性慾 ， 浪漫愛情同對長期伴侶嘅依戀 呢啲電路巳深深地嵌入咗人類大腦入面	百萬年前開始 ， 我們演化了三種基本的需求動力 ， 性慾動力 、 浪漫愛情動力 、 以及和長期伴侶互相依存 ， 這些迴路深植在人體大腦中 ，
你表錯情啦，呢位先至係董事長	你誤會了，這位才是董事長
纏藤花	攀牆花類的總稱
呢把刀好利，你用佢要好小心噃。	這把刀真的很鋒利，所以用的時候一定要非常小心。
甩拖	脫離戀愛關係
等等啦！	等等吧！
醃子薑	醃製的嫩薑
米飯同粉麵都一樣咁飽肚。	米飯和麵條同樣可以充飢。
啲小朋友好鍾意食珍寶珠，一吮就可以吮成個鐘。	孩子們總是喜歡吃棒棒糖，他們可以吸一個小時的糖。
捧場	觀看
薦高啲	將它提升到更高的位置
原來香港都有得立食和牛。	我剛剛意識到我們可以在香港站起來吃和牛牛肉。
佢觀念舊、視野窄，做親嘢都係死人尋舊路。	他的觀念陳舊，眼界狹隘，所以一做事就不能不墨守成規。
眼中再也看不到其他	眼中再也看不到其他
唔反	不反轉
在海下灣興建海洋公園管理中心和有關設施	在海下灣興建海洋公園管理中心和有關設施
冇人騷佢	沒人理睬他
焗茄汁牛脷飯	強迫番茄醬牛舌飯
輸入活雞	進口活雞
佢口口聲聲話自己係冇辜嘅，但係冇其他人可以證明到佢講緊真話。	他口口聲聲說自己是無辜的，但沒有人能證明他說的是真的。
（ 笑聲 ） 呢啲就係我哋做嘅嘢	（ 笑聲 ） 而這是我們完成的
忠實fan屎	忠實粉絲
（ 笑聲 ） 認真的 ， 而且有效的 -- 且是的 , 那其實是一只租來的羊 , 所以我必須在早上歸還牠 , 但是牠整天都被好好的照顧 。	( 笑聲 ) 它是有效的 -- 且是的 , 那其實是租來的羊 , 所以我必須在早晨歸還 , 但是牠整天都被照顧的很好 。
萬眾矚目	引起極大關注
你告我哋唔入㗎喎	你告不倒我們
仲有好多其他令民眾擔憂嘅問題 系互聯網上熱議 。	還有很有其它讓民衆擔憂的問題 在互聯網上受到了強烈議論 .
香港逐步變緊做知識型嘅經濟體系。	香港正轉型為知識型經濟體。
佢話啲病癥都係真嘅 但都冇生理原因解釋	他說 ， 那些症狀都是真的 ， 但是它們的病因與生理無關 。
抵	值得
佢星期一煮意麵 因爲啲細蚊仔肯定食	雪若煮義大利麵 ， 因為她想要確保她煮的 是孩童會想吃的一餐 。
地下通道	地下通道
嗯。嗯。不過細個好驚啊。我睇完嗰啲書呢，係瞓唔着。我成日會覺得會有啲飛碟呢來地球拐帶啲人。走上去驗啊、劏開佢來割啊、解剖啊、攞標本啊等等。	嗯。嗯。不過小時候好害怕啊。我看完了那些書呢，是睡不着。我總是會覺得會有一些飛碟呢來地球拐帶人們。走上去驗啊、切開他來割啊、解剖啊、拿標本啊等等。
好耐	長時間
你冇理由唔知呀	你沒理由不知道
夾萬	保險箱
佢做嘢冇厘搭霎㗎，未做完就走咗去	他幹活有始無終，還沒幹完就跑了
水坑	大的排水明溝
你屈我呀？	你想冤枉我？
（ 笑聲 ） 「 值大概 250 萬美金 。 」	（ 笑聲 ） " 價值應該大約 250 萬美元 "
湊仔	帶孩子
今時今日唔識電腦點揾工呀？	在這些日子裡，如果你不會使用電腦，你怎麼能找到工作呢？
比我大哥小得遠，	比我大哥小得遠，
亞明冧女仔好叻㗎。	阿明哄女孩子的本事。
化學成份	化學成分
新手上路	從新手開始
但係好多時呢我覺得即係嗰個尊嚴係我嘅包袱囖。如果我-對哩套戲好嘅好處就係，吖，佢竟然放得低呢。好似即係另一個重生噉樣啊。	但是很多時候呢我覺得就是那個尊嚴是我的包袱。如果我-對這個電影好的好處就是，吖，他竟然放得下呢。好像就是另一個重生這樣啊。
徇私枉法	為了朋友或親戚的利益而歪曲法律
三個細路 ， 系三個學生黎嘅 ， 被軍隊扣押 因為佢地無帶身份證明	三個孩子 ， 就是三個學生 ， 被軍隊拘留了 ， 因為他們未攜帶證件 。
「 Uktub 」 係 「 寫 ， 命令式 」	" Uktub " 用命令語氣說寫 。
選美評判	選美比賽/比賽的評委
佢係個闊佬。	他是一個有錢人，或者他是一個揮霍無度的人。
奧運獎牌	奧運會獎牌
呢個設計好行囉，改改佢得唔得。	設計似乎沒有認真完成。 你能做一些改變嗎？
你擰個頭過嚟望住黑板	你扭過頭來看著黑板
我外公住喺筲箕灣御景軒	我外公住在筲箕灣御景軒
炕	攤開來放
假如有個應用程式可以話個前景我哋知 ？	要是有一個 APP 程式呢 ？
香港人醒醒吧	香港人醒醒吧
有啲人話衝紅燈好易發炎㗎。	有人說在月經期間與女性發生性關係更容易引起炎症。
讕	假冒
喺呢度 ， 有好多人同我一樣 ？ 佢哋人生行到嚟某個階段 被迫放棄自己嘅根 ？ 先能夠證明畀人哋睇 自己係有文化 、 有地位	好吧 ， 在這裡 ， 有很多人和我一樣 他們來到了人生一個這樣的階段 不得不放棄過去發生在他們身上的一切 才能藉此說明他們是文明的 開化的
嗰日零舍開心	那天真的超開心 。
今朝仔仔一起身就同我講數口，媽咪，我唔想返學，唔鍾意讀書！	今天早上小兒子一起床就和我吵架：媽媽，我不想上學，我不喜歡學習！
幾步	幾步之遙
每款絲纖維喺唔同嘅咀度噴出嚟 如果你從纖維追溯入返蜘蛛身體 你揾到嘅係 每一個咀連接住獨立嘅絲腺體 絲腺體好似一個裝住好多絲蛋白嘅囊	每一條絲纖維從其中的一個噴嘴噴出 ， 而如果你順著纖維回溯到蜘蛛體內 ， 你會發現 每一個噴頭都連接著一個獨有的絲腺 。 絲腺看起來像是一個 含有很多絲蛋白的囊袋 。
麥皮算唔算減肥恩物？	燕麥片是節食者的救命稻草嗎？
蛋撻	蛋塔
詳細	詳盡
鬆啲	多些
等陣	過一會兒
你嗰件事好撠手	你的那件事很不好辦
講者 ︰ 我哋已經做咗好長時間 只有復墾礦山嘅時候 我哋需要提供食物畀啲牲畜 因為只有嗰度係完全無植物	艾倫 · 薩弗瑞 ： 嗯 ， 我們已經做了很久了 我碰過唯一需要提供飼料的地方是 在礦山復墾時 那裡完全沒有草
白撞	撞騙
站長室	站長室
八兩金。	八兩金。
不同嘅政黨有不同嘅政見。	不同的政黨持有不同的政治觀點。
冇錯 ， 軍事需要確實係好重要嘅原因 但係發明一部電腦都離唔開其他因素 ： 八音盒 、 玩具長笛演奏機器人 大鍵琴鍵盤 ， 同埋印上布匹嘅斑斕圖案 軍事需要只係成個故仔中一小部份	沒錯 ， 軍方的介入 的確是一個重要因素 但發明一台電腦還需要其他組件 音樂箱 玩具笛子演奏機器人 大鍵琴的鍵盤 彩色圖案編織布 這都是故事的一小部分
唔使𡃉咩？	不用贏嗎？
黏張海報喺門口。	在門上貼一張海報。
呢味藥加多兩錢可能效果會好啲	這種中藥多加兩錢可能效果會好點兒
佢照樣噉樣而家落機呢，啲fans照一樣，「嘩」噉樣，喀。	他照樣這樣現在下飛機呢，啲fans照一樣，「哇」這樣，喀。
心灰	灰心喪氣
你亂發表意見，賺人家笑話你	你亂發表意見，只能讓人家笑話你
一千九百四十萬平方英里 即係點樣 ？	那有多大呢 ？
鮮茄炒蛋飯	鮮茄炒蛋飯
比起阿玲，我算係幾高。	和玲比起來，我算是高大上了。
唔掂	情況不好
唔錯	不錯
佢哋唔俾我走，焗我買嘢。	除非我買東西，否則他們不會讓我走。
如果你睇梗一本書 ， 就要連埋啲嘢	如果你在讀一本書 ， 從裡面提煉出想要的東西
順住條路走	沿著路走
佢幾識歎呀！	他多會享受！
公司執行董事問咗幾個好中肯嘅問題 點解依家每個人仍然會去寫字樓番工 即使佢地其實可以喺任何地方做嘢 ?	而公司的執行長問了一個很中肯的問題 : 為什麼現今每個人仍希望到辦公室上班 ， 即使他們可以在任何地方辦公 ?
架勢	了不起
睇佢寫嘅文章，就知佢唔係泛泛之輩。	從他的話來看，他不是普通人。
七除八扣	七折八扣
零三沙士重創香港經濟。	2003 年非典重創香港經濟。
佢𠱓𠱓噬噬噉請我幫手。	他在請求我的幫助時就這樣苦苦哀求。
簡筆	簡體
2015年，一名韓國用戶將安吉麗娜2014年嘅照片轉發到一個韓國社區，標題為「想嫁畀韓國男人嘅俄羅斯模特」 ，此舉引起轟動。呢個帖子很快喺韓國所有嘅媒體平臺上傳播開嚟。	2015年，一名韓國用戶將安吉麗娜2014年的照片轉發到一個韓國社區，標題爲“想嫁給韓國男人的俄羅斯模特” ，此舉引起轟動。這個帖子很快在韓國所有的媒體平臺上傳播開來。
係啊係啊。	是啊是啊。
呢個人高戙戙，似條電燈杉	這個人高高的，像根電線桿
消費模式	消費者行為
十六。啊！唔係。好似十二咋。我哋樓下食都十五喇。	十六。啊！不是。好像十二而已。我們樓下喫都十五了。
我搵到愛 ， 我非常開心 。 」	我找到愛了 ， 我很快樂 。 “
毆	打
噉即係你估會幾耐度啊？	就是你猜會多久裏啊？
ei1…	ei1...
噉，誒，或者如果你揾到一部好嘅電子辭典呢，噉或者你介紹俾我呢，我都我都考慮下。	這樣，淘氣，也許如果你找到一部好的電子辭典呢，或者你介紹給我呢，我也我也考慮一下。
佢係大學公認嘅美女，周圍都係佢啲追求者。	她在大學裡被公認為美女，所以到處都有追捧者。
但係我想話畀你聽	但是我想告訴你
當街當巷	公開上街
青筋掛鼻樑，無事喊三場。	青筋掛鼻樑，無事哭三場。
我播畀你聽，你等我一陣。	我播給你聽。
隻股票今朝升到叭叭聲，早知尋日入定貨啦，真係揼春。	那隻股票今早暴漲，早知道昨天就買，後悔死了。
喺網上查你住緊地方嘅本地花卉品種	上網搜尋資料 種植本土原生的花種
籃球員至少要有六呎身高。	籃球運動員需要至少 6 英尺高。
退居幕後	辭去演職
芳瑩正一孤寒鬼嚟，次次去親街都要人地同佢出埋錢	芳瑩很吝嗇的，每次外出都要別人替她付錢
禮拜日同埋班朋友去行山	星期天跟一幫朋友去遠足
隻腳…	腳...
油多	牛油多士
搭巴士五蚊雞，搭的士就要五十零蚊喇。	坐公共汽車要花五塊錢，但坐出租車要五十多塊錢。
有無人去過圓洲角體育館嘅兒童遊戲室玩？嗰度乾唔乾淨㗎？	有沒有人去過圓洲角體育館的兒童遊戲室玩？那裏乾不乾淨的？
黃師傅去筲箕灣譚公廟道幫個後生仔睇跌打	黃師傅去筲箕灣譚公廟道幫個年輕人看跌打
四周的氣氛也起了變化	四周的氣氛也起了變化
洋基隊有餐士贏。	紐約洋基隊有機會獲勝。
你自己出嚟聞吓呀	你自己出來聞一下嗎
警方相信，俾拘捕嘅男人係非法賭波集團嘅主腦。	警方認為被捕男子是一個非法足球賭博集團的頭目。
唔忿氣	不服氣
佢以私隱為由拒絕解釋。	出於隱私考慮，他拒絕解釋。
懶佬鞋	布鞋
行運一條龍，失運一條蟲。	走運一條龍，失運一條蟲。
佢係有腰骨嘅人	他是有骨氣的人
陳生頂咗間舖嚟做。	陳先生買下這家店以繼續經營。
土炮耳機	國產耳機
攪嚟攪去最屘得個吉	弄來弄去最後只有一場空
原來攪錯晒	原來弄錯了
同時 ， 我哋見到特朗普喺美國冒起 匈牙利總理奧班嘅民族主義喺當地冒起 馬琳 · 勒龐喺法國嘅愈嚟愈受歡迎	在美國川普贏得了很多支持 在匈牙利增長的民族主義 歐爾班 · 維克托 以及在法國支持率大漲的瑪麗 · 勒龐 。
無人有	沒有人有
我屋企個門鐘神神哋，可以拎去邊度整㗎？	我們的門鈴壞了。 我可以去哪里維修？
唔知啊。正式…	不知道啊。正式...
頭啖湯都畀人飲咗嘞，仲諗乜嘢？	開頭最大塊的好處都讓別人拿了，還想什麼？
老友唔記得去屯門澤豐街參加緩步跑練習	老兄忘記去屯門澤豐街參加緩步跑練習
即係可能佢會想揾啲定啲嗰啲人。	就是可能他會想找點鎮定點那些人。
係喇。總之唔好喺香港區喇。返工已經係香港區𡃉嘞真係。	對了。總之不要在香港區了。上班已經是香港區嘮了真。
嗄！	啊！
參加者所提供的資料須正確無訛	參加者所提供的資料須正確無訛
有請嘉賓上台。	我們歡迎我們的貴賓登上舞台。
鰨沙魚	沙鰨
要寫份proposal先吸引到投資者投資你間startup。	您需要一份提案來吸引投資者投資您的初創企業。
今晚佢戙起床板都抄唔晒	今晚他開夜車不睡覺也抄不完
擺埋一二邊	放在一邊
當我仲係一個細路仔 核戰係我哋最擔心嘅災難	在我小時候 ， 最讓我們感到擔憂的是核戰災難 ，
生女𠻺一定要生個靚女，唔係就唔好生。	生女嘮一定要生個美女，不然就不要生。
偷雞	躲懶
呢個仔正一濕水欖嚟㗎，成日走嚟走去。	這個男孩是個濕橄欖，他總是到處亂跑。
試飯碗	試工的俗稱
善棍	靠辦善堂發財者
單手	單手操作、單手打球
聽佢講嘢就知佢冇料啦。	聽他的話，就知道他沒有學問。
從呢件事，我睇到人性幾咁醜陋。	從這件事上，我明白了人性的醜惡。
